id;title;url;content;created_by;updated_by;created_at;updated_at
1;Singapore Mexico;https://allison.org;Specialist world-class;5825;34230;2022-12-20T12:32:43;2022-12-20T03:15:43
2;copy 24/7 Generic;http://riley.biz;Guadeloupe payment Multi-layered;81723;80084;2022-12-19T16:25:21;2022-12-20T05:53:05
3;Optimized hardware Suriname;https://ivory.com;solution-oriented explicit Illinois;36085;75900;2022-12-20T05:50:13;2022-12-19T18:41:31
4;Communications mint;https://oma.info;microchip Investor partnerships;10919;54898;2022-12-20T00:23:13;2022-12-20T12:43:30
5;Digitized;https://lauretta.net;Soft Cotton;29223;99651;2022-12-19T23:52:21;2022-12-20T00:20:15
6;XSS connecting;https://floy.com;Handmade;10082;98508;2022-12-20T09:46:28;2022-12-20T07:22:56
7;redefine PCI;https://maia.info;matrix;39644;40324;2022-12-19T19:59:39;2022-12-19T18:24:16
8;Mobility;http://keyon.net;connecting;53926;44797;2022-12-20T08:40:16;2022-12-20T10:30:56
9;Metal Cotton;https://hilda.name;Awesome payment Cross-group;20968;23949;2022-12-20T02:15:18;2022-12-19T21:16:02
10;Executive Fantastic;https://roxane.com;Savings Solutions;74166;3463;2022-12-20T12:00:48;2022-12-20T14:48:26
